COMNAME,TAXON,Density per 100 ha
Blue Jay,Cyanocitta cristata,4.1
Blue Jay,Cyanocitta cristata,6.9
Blue Jay,Cyanocitta cristata,20
Blue Jay,Cyanocitta cristata,5
Blue Jay,Cyanocitta cristata,25
Blue Jay,Cyanocitta cristata,20
Blue Jay,Cyanocitta cristata,20
Blue Jay,Cyanocitta cristata,10
Blue Jay,Cyanocitta cristata,11
Blue Jay,Cyanocitta cristata,7
Blue Jay,Cyanocitta cristata,11
Blue Jay,Cyanocitta cristata,20
Blue Jay,Cyanocitta cristata,15
Blue Jay,Cyanocitta cristata,9.9
Blue Jay,Cyanocitta cristata,24.8
Blue Jay,Cyanocitta cristata,11
Blue Jay,Cyanocitta cristata,8
Blue Jay,Cyanocitta cristata,15
Blue Jay,Cyanocitta cristata,44
Blue Jay,Cyanocitta cristata,15
Blue Jay,Cyanocitta cristata,8
Blue Jay,Cyanocitta cristata,11
Blue Jay,Cyanocitta cristata,2
Blue Jay,Cyanocitta cristata,4
Blue Jay,Cyanocitta cristata,2
Blue Jay,Cyanocitta cristata,5
Blue Jay,Cyanocitta cristata,13.5
Blue Jay,Cyanocitta cristata,13
Blue Jay,Cyanocitta cristata,5
Blue Jay,Cyanocitta cristata,3.5
Blue Jay,Cyanocitta cristata,15
Blue Jay,Cyanocitta cristata,6
Blue Jay,Cyanocitta cristata,19.5
Blue Jay,Cyanocitta cristata,12
Blue Jay,Cyanocitta cristata,7
Blue Jay,Cyanocitta cristata,12
Blue Jay,Cyanocitta cristata,7
Blue Jay,Cyanocitta cristata,20
Blue Jay,Cyanocitta cristata,0.1
Blue Jay,Cyanocitta cristata,24.7
Blue Jay,Cyanocitta cristata,4
Blue Jay,Cyanocitta cristata,19.5
Blue Jay,Cyanocitta cristata,10
Blue Jay,Cyanocitta cristata,20
Blue Jay,Cyanocitta cristata,20
Blue Jay,Cyanocitta cristata,10
Blue Jay,Cyanocitta cristata,3
Blue Jay,Cyanocitta cristata,15
Blue Jay,Cyanocitta cristata,30
Blue Jay,Cyanocitta cristata,0.1
Blue Jay,Cyanocitta cristata,1
Blue Jay,Cyanocitta cristata,20.6
Blue Jay,Cyanocitta cristata,20
Blue Jay,Cyanocitta cristata,20
Blue Jay,Cyanocitta cristata,20
Blue Jay,Cyanocitta cristata,10
Blue Jay,Cyanocitta cristata,20
Blue Jay,Cyanocitta cristata,34
Blue Jay,Cyanocitta cristata,24
Blue Jay,Cyanocitta cristata,0.1
Blue Jay,Cyanocitta cristata,15
Blue Jay,Cyanocitta cristata,10
Blue Jay,Cyanocitta cristata,25
Blue Jay,Cyanocitta cristata,0.1
Blue Jay,Cyanocitta cristata,15
Blue Jay,Cyanocitta cristata,4
Blue Jay,Cyanocitta cristata,2
Blue Jay,Cyanocitta cristata,18
Blue Jay,Cyanocitta cristata,6
Blue Jay,Cyanocitta cristata,17
Blue Jay,Cyanocitta cristata,2
Blue Jay,Cyanocitta cristata,8
Blue Jay,Cyanocitta cristata,4
Blue Jay,Cyanocitta cristata,9
Blue Jay,Cyanocitta cristata,7
Blue Jay,Cyanocitta cristata,6
Blue Jay,Cyanocitta cristata,10.1
Blue Jay,Cyanocitta cristata,5
Blue Jay,Cyanocitta cristata,25
Blue Jay,Cyanocitta cristata,14
Blue Jay,Cyanocitta cristata,13.7
Blue Jay,Cyanocitta cristata,9.2
Blue Jay,Cyanocitta cristata,7
Blue Jay,Cyanocitta cristata,8
Blue Jay,Cyanocitta cristata,7
Blue Jay,Cyanocitta cristata,10
Blue Jay,Cyanocitta cristata,11.1
Blue Jay,Cyanocitta cristata,0.1
Blue Jay,Cyanocitta cristata,8.3
Blue Jay,Cyanocitta cristata,9.1
Blue Jay,Cyanocitta cristata,28
Blue Jay,Cyanocitta cristata,15
Blue Jay,Cyanocitta cristata,22.2
Blue Jay,Cyanocitta cristata,7
Blue Jay,Cyanocitta cristata,3
Blue Jay,Cyanocitta cristata,1
Blue Jay,Cyanocitta cristata,1
Blue Jay,Cyanocitta cristata,2
Blue Jay,Cyanocitta cristata,2
Blue Jay,Cyanocitta cristata,1
